Customer ID,Full Name,Country,Country Code,City,Gender,Ethnicity,Business Unit,Product Category,Product,Purchage Amount,Price,Qty,Discount,Total Price,GST Rate,Shipment mode
US1,Emily Davis,United States,US,Seattle,Female,Black,B2B,Home Appliance,Vacuum Cleaner,1102,3800,32,47%,64448,18%,Air
CH1,Theodore Dinh,China,CH,Chongqing,Male,Asian,B2C,Office Equipment,Printer,10488,43700,2,12%,76912,18%,Air
US2,Luna Sanders,United States,US,Chicago,Female,Caucasian,B2C,Office Equipment,Desktop,12292,43900,1,10%,39510,18%,Air
US3,Penelope Jordan,United States,US,Chicago,Female,Caucasian,B2C,Office Equipment,Oven,4966,19100,2,0%,38200,18%,Air
US4,Austin Vo,United States,US,Phoenix,Male,Asian,B2C,Office Equipment,Oven,3465,10500,1,3%,10185,18%,Air
CH2,Joshua Gupta,China,CH,Chongqing,Male,Asian,B2C,Home Appliance,TV,19620,65400,3,2%,192276,18%,Air
US5,Ruby Barnes,United States,US,Phoenix,Female,Caucasian,B2C,Office Equipment,Printer,2820,14100,1,3%,13677,18%,Air
US6,Luke Martin,United States,US,Miami,Male,Black,B2C,Home Appliance,Air Purifier,12775,36500,2,0%,73000,18%,Air
US7,Easton Bailey,United States,US,Austin,Male,Caucasian,B2C,Office Equipment,Printer,5616,20800,1,10%,18720,18%,Air
US8,Madeline Walker,United States,US,Chicago,Female,Caucasian,B2C,Home Appliance,Oven,4401,16300,3,5%,46455,18%,Air
US9,Savannah Ali,United States,US,Miami,Female,Asian,B2C,Office Equipment,Laptop,8580,42900,2,13%,74646,18%,Air
US10,Camila Rogers,United States,US,Seattle,Female,Caucasian,B2C,Office Equipment,Laptop,19494,51300,1,10%,46170,18%,Air
US11,Eli Jones,United States,US,Austin,Male,Caucasian,B2C,Home Appliance,Fridge,12880,36800,3,0%,110400,18%,Air
CH3,Everleigh Ng,China,CH,Shanghai,Female,Asian,B2C,Office Equipment,Mircowave,3270,10900,2,14%,18748,18%,Air
US12,Robert Yang,United States,US,Austin,Male,Asian,B2C,Home Appliance,Fridge,11004,52400,2,5%,99560,18%,Air
US13,Isabella Xi,United States,US,Seattle,Female,Asian,B2C,Office Equipment,Laptop,23780,82000,2,1%,162360,18%,Air
